iter	RMSE
138	1.036673314
139	1.032689621
140	1.028887074
141	1.021291372
142	1.017138061
143	1.013778439
144	1.010060765
145	1.006382778
146	1.002920386
147	1.000498048
148	0.9964736283
149	0.9918377978
150	0.9833292034
151	0.9753886521
152	0.9702392713
153	0.9661780854
154	0.9631922929
155	0.9613154678
156	0.9574512527
157	0.953786754
158	0.9491451921
159	0.9470560241
160	0.9416076959
161	0.9388421117
162	0.9351485116
163	0.9323612276
164	0.9271573711
165	0.9237231915
166	0.9192364586
167	0.9161949495
168	0.9122846628
169	0.9057412169
170	0.9041859704
171	0.8966983477
172	0.8924895886
173	0.8901602122
174	0.8856083947
175	0.8819612396
176	0.8760974192
177	0.8719986819
178	0.8705307915
179	0.8653829763
180	0.859221741
181	0.8529782541
182	0.8504885158
183	0.844589768
184	0.8387253263
185	0.8344633669
186	0.8302548537
187	0.826800248
188	0.8240264723
189	0.8182541344
190	0.8144439282
191	0.8110785849
192	0.8088395017
193	0.8052802176
194	0.8004158243
195	0.7953435351
196	0.7912036863
197	0.7880701321
198	0.7841014553
199	0.7801609482
200	0.7759987784
201	0.7742808844
202	0.7714277403
203	0.7689960952
204	0.7657207893
205	0.7631945029
206	0.7593438758
207	0.7565818342
208	0.7521862869
209	0.7493212873
210	0.7454585707
211	0.7429206003
212	0.7391995483
213	0.7353151533
214	0.7337460455
215	0.7288324943
216	0.7256839854
217	0.722546882
218	0.7200990956
219	0.7180458757
220	0.7141808413
221	0.7127038296
222	0.7088582137
223	0.7061839936
224	0.7017503145
225	0.6983585687
226	0.693116539
227	0.6898086112
228	0.6865178902
229	0.683050768
230	0.6802091257
231	0.6768825876
232	0.6759207619
233	0.6727745077
234	0.6702492423
235	0.6688799984
236	0.6657281624
237	0.6632164373
238	0.6611212711
239	0.6579839383
240	0.6563805136
241	0.6537448192
242	0.6516133525
243	0.6484321437
244	0.6465014526
245	0.6436266205
246	0.6411197131
247	0.6409642139
248	0.6391623046
249	0.6389355311
250	0.6361757442
251	0.6347540451
252	0.6322315129
253	0.6303517839
254	0.62902301
255	0.6269359994
256	0.6259718733
257	0.6237726305
258	0.6218952993
259	0.6216639434
260	0.6189804761
261	0.6175494429
262	0.6166912805
263	0.6160160825
264	0.6141385494
265	0.6118547013
266	0.6088824716
267	0.608314872
268	0.6080769646
269	0.6079072892
270	0.6068290071
271	0.6064534033
272	0.6031736789
273	0.6003589776
274	0.5980254363
275	0.596075512
276	0.5959140254
277	0.5943695336
278	0.5920688576
279	0.5902383745
280	0.5900718105
281	0.5872796688
282	0.5867090076
283	0.5843852096
284	0.5823049977
285	0.5821591311
286	0.5798298797
287	0.5780914697
288	0.5752743804
289	0.5740430211
290	0.5735201565
291	0.5710709364
292	0.5681364457
293	0.5662001741
294	0.5635115926
295	0.5615802567
296	0.558884483
297	0.5574778891
298	0.5557030828
299	0.5535433154
300	0.5534425359
301	0.5531004248
302	0.5505464366
303	0.5489060634
304	0.548078293
305	0.5475895633
306	0.5452987223
307	0.5451857976
308	0.5430399635
309	0.5409843687
310	0.5382422762
311	0.5377699092
312	0.5376570008
313	0.5375231861
314	0.5363827872
315	0.5360335293
316	0.5359301457
317	0.5346226238
318	0.5329232304
319	0.5323634159
320	0.5313303697
321	0.5311070967
322	0.5297145001
323	0.5296179239
324	0.5273886124
325	0.5257940361
326	0.5256672129
327	0.5230622948
328	0.5204615137
329	0.5203814183
330	0.5190721485
331	0.5182211979
332	0.5181326869
333	0.5165893849
334	0.5149683315
335	0.5141466635
336	0.5113232239
337	0.5088932194
338	0.507282251
339	0.5049916482
340	0.5038754184
341	0.5017976973
342	0.49985877
343	0.4992780175
344	0.4972389183
345	0.495212422
346	0.4936007538
347	0.4926244432
348	0.4925142169
349	0.4923546446
350	0.4916050298
351	0.4896126536
352	0.4886217541
353	0.4885636804
354	0.4882189592
355	0.4876394545
356	0.4850406259
357	0.4839058992
358	0.4838349014
359	0.4824008577
360	0.4806080564
361	0.480548293
362	0.4801766814
363	0.4800945324
364	0.4800381082
365	0.479350432
366	0.4791516638
367	0.4790952725
368	0.4775598388
369	0.4758287043
370	0.4743966779
371	0.47228495
372	0.4706439316
373	0.4691264029
374	0.4690679815
375	0.4681768027
376	0.4673131425
377	0.4659949547
378	0.4643498908
379	0.4631601293
380	0.4609802292
381	0.4604138875
382	0.4588220497
383	0.4578716185
384	0.4570982843
385	0.4567898497
386	0.4564467298
387	0.4555950876
388	0.4544507598
389	0.4531587532
390	0.4515111403
391	0.451460898
392	0.4499862743
393	0.4490869417
394	0.4484234643
395	0.4465898359
396	0.4445915777
397	0.4432236078
398	0.4431794779
399	0.4415586371
400	0.4397933217
401	0.4397342255
402	0.4392611891
403	0.4380706712
404	0.4367887415
405	0.4351183024
406	0.4339169243
407	0.432838175
408	0.4322657328
409	0.4314619886
410	0.4301971194
411	0.4285572317
412	0.427693065
413	0.4274570634
414	0.4261873737
415	0.424982568
416	0.4249295261
417	0.4239704942
418	0.4229078222
419	0.4227166804
420	0.4211491647
421	0.4197393389
422	0.4192835008
423	0.4184413722
424	0.4164765117
425	0.4154448411
426	0.414902226
427	0.4132359596
428	0.412326154
429	0.4108786877
430	0.4100328512
431	0.4085006614
432	0.4074312925
433	0.4061975252
434	0.4056499884
435	0.4047167677
436	0.402714428
437	0.4016003574
438	0.4005738805
439	0.3992901104
440	0.3989911887
441	0.3977601263
442	0.3969104763
443	0.3966168161
444	0.394822309
445	0.3937435956
446	0.392459802
447	0.3921885854
448	0.3904163917
449	0.3898773774
450	0.3888019608
451	0.3871188516
452	0.3868898459
453	0.3855884458
454	0.3855530511
455	0.3852247314
456	0.3842816226
457	0.3827397335
458	0.3816535999
459	0.3796730879
460	0.3782549652
461	0.3780800489
462	0.3771937239
463	0.3756899794
464	0.3741013547
465	0.3731894475
466	0.3716527743
467	0.3711028215
468	0.3697381065
469	0.3692961289
470	0.3680945227
471	0.3671923475
472	0.3661163627
473	0.3653569901
474	0.3642487567
475	0.362986033
476	0.3620067217
477	0.3611498883
478	0.3601279444
479	0.3593321971
480	0.358157213
481	0.3573059439
482	0.3555565683
483	0.3550538506
484	0.3544646012
485	0.3541187348
486	0.3533308043
487	0.3516792617
488	0.3514143957
489	0.3512574151
490	0.3504019599
491	0.3500734336
492	0.3490707139
493	0.3480274504
494	0.3471563148
495	0.345873407
496	0.3450025082
497	0.3449688458
498	0.3440318415
499	0.3428722462
500	0.3413608215
501	0.3406839163
502	0.3395029655
503	0.3385736602
504	0.3370984315
505	0.3359740529
506	0.3353842168
507	0.3338985028
508	0.3326335973
509	0.331922887
510	0.3312138531
511	0.33037905
512	0.3295993428
513	0.3288934204
514	0.3283774485
515	0.3276019586
516	0.3269301014
517	0.3256426747
518	0.324885472
519	0.3241687765
520	0.324057802
521	0.32365039
522	0.3236187355
523	0.3231217851
524	0.3227957404
525	0.3227685838
526	0.322741606
527	0.3217849126
528	0.3209201045
529	0.320327169
530	0.3192746793
531	0.3187276176
532	0.318709052
533	0.318463791
534	0.317521257
535	0.3169774433
536	0.3156903253
537	0.3147485276
538	0.3142298067
539	0.313447126
540	0.3125700585
541	0.3125052204
542	0.3111828353
543	0.3103302941
544	0.3096744278
545	0.3089033094
546	0.3077118827
547	0.3068212863
548	0.3059957784
549	0.3052312535
550	0.3040408464
551	0.3036994497
552	0.3032629372
553	0.3025983214
554	0.3025755172
555	0.3020514155
556	0.3008397063
557	0.3000617301
558	0.2990937425
559	0.2981403354
560	0.2972352003
561	0.2966247334
562	0.2962221413
563	0.2961289778
564	0.2954215294
565	0.2950100441
566	0.2941597409
567	0.2935150891
568	0.2933339706
569	0.2932577861
570	0.2924911363
571	0.2918070153
572	0.2909210524
573	0.2901975239
574	0.2892756095
575	0.2886401567
576	0.2882809426
577	0.2881617675
578	0.2874690515
579	0.2862896958
580	0.28583234
581	0.2853482946
582	0.2847287605
583	0.2841939227
584	0.2841744706
585	0.2830898636
586	0.2821802086
587	0.2814232303
588	0.2805868228
589	0.2798476099
590	0.2794798872
591	0.2790004543
592	0.2783775145
593	0.2776285544
594	0.2774563576
595	0.2774402463
596	0.2765617103
597	0.2760695932
598	0.2748725061
599	0.2740594502
600	0.2738543748
601	0.2721495405
602	0.2719624032
603	0.2713118205
604	0.2712747075
605	0.2705117908
606	0.2700169291
607	0.269007756
608	0.2687493537
609	0.2672358367
610	0.266791106
611	0.2666718675
612	0.2660412441
613	0.2652032327
614	0.2641410975
615	0.2635211654
616	0.2630121271
617	0.262538599
618	0.261991617
619	0.2613437104
620	0.2610815364
621	0.2599394296
622	0.2596202546
623	0.259094875
624	0.2581409044
625	0.2575105141
626	0.2574483838
627	0.2570577142
628	0.2560826535
629	0.2551932131
630	0.2546570839
631	0.25337718
632	0.2528310571
633	0.252301603
634	0.2519592143
635	0.251927302
636	0.2508512229
637	0.2498011077
638	0.24908519
639	0.2482884483
640	0.2476402891
641	0.2471296974
642	0.2461521515
643	0.2453323546
644	0.2439377038
645	0.2435786993
646	0.2433767933
647	0.2429204705
648	0.2421402719
649	0.2418482231
650	0.2409922033
651	0.2406355669
652	0.2402396918
653	0.2397095832
654	0.239661037
655	0.2388671949
656	0.2387174443
657	0.2376736492
658	0.2368207397
659	0.236444195
660	0.2362565135
661	0.2356798923
662	0.2347673024
663	0.2339034374
664	0.2334501948
665	0.2328851476
666	0.2323201072
667	0.2316214361
668	0.2310319914
669	0.2299843616
670	0.2296985888
671	0.2290020381
672	0.2286846972
673	0.228217223
674	0.2275489617
675	0.22698537
676	0.2260560384
677	0.2256344383
678	0.2248684728
679	0.2241563037
680	0.2236409393
681	0.2231306605
682	0.2226372532
683	0.2220759882
684	0.2214441698
685	0.2208070741
686	0.2199740836
687	0.2192156029
688	0.2187657252
689	0.2176757723
690	0.2171436814
691	0.216552542
692	0.2163787964
693	0.215710692
694	0.2150371568
695	0.2142913175
696	0.2138605435
697	0.2126428847
698	0.2122913105
699	0.211792206
700	0.2114686344
701	0.2106955216
702	0.2098922651
703	0.2093156286
704	0.2086796557
705	0.2081628607
706	0.2075468066
707	0.2072499832
708	0.207068781
709	0.2065853114
710	0.2058796659
711	0.2053516125
712	0.2048834093
713	0.2043517066
714	0.2036174044
715	0.2031264907
716	0.2031134311
717	0.2024825593
718	0.2022238555
719	0.2018070068
720	0.2014186874
721	0.2009713894
722	0.2006200366
723	0.1999610818
724	0.1995807845
725	0.199072667
726	0.1987335898
727	0.1982313126
728	0.1976155364
729	0.1971095132
730	0.1965204238
731	0.1964176875
732	0.1959661151
733	0.1952118609
734	0.1946891071
735	0.1943168167
736	0.193610101
737	0.1927047383
738	0.1923860928
739	0.1913819102
740	0.1910629769
741	0.1903835586
742	0.1899330996
743	0.1894324124
744	0.1888914328
745	0.1883323349
746	0.1878727397
747	0.187226995
748	0.186909454
749	0.186350243
750	0.185784035
751	0.1852969758
752	0.1847159587
753	0.1838430593
754	0.1833638697
755	0.182687343
756	0.1822181762
757	0.18173007
758	0.1811759072
759	0.1807738985
760	0.1805706732
761	0.1800869846
762	0.1799952103
763	0.1796130939
764	0.1792465779
765	0.1787806822
766	0.1783945713
767	0.1781696715
768	0.1777392998
769	0.1770763116
770	0.1767503649
771	0.1763289698
772	0.1759254862
773	0.1755629418
774	0.1750014932
775	0.1744648263
776	0.1742682044
777	0.1741508527
778	0.1737158991
779	0.1732268136
780	0.1726725627
781	0.1721723186
782	0.1717176851
783	0.1712850133
784	0.1707867166
785	0.1703137731
786	0.1699034425
787	0.1693548481
788	0.1688107025
789	0.1685318018
790	0.1678357476
791	0.1673967765
792	0.1669969239
793	0.1666490451
794	0.1663051464
795	0.1655052711
796	0.1650817587
797	0.1647581034
798	0.1644069475
799	0.1639903811
800	0.1634770673
801	0.1628439216
802	0.1624806187
803	0.1621136961
804	0.161922805
805	0.1617197246
806	0.1612862703
807	0.1606677442
808	0.1604117119
809	0.1596408764
810	0.1592611421
811	0.1589588698
812	0.158375158
813	0.1581062198
814	0.1579874193
815	0.1573857837
816	0.1568896883
817	0.1565066591
818	0.1560495121
819	0.1556443175
820	0.1554860136
821	0.1551037538
822	0.1547513034
823	0.1544375096
824	0.1536873337
825	0.1535424096
826	0.153339625
827	0.152917551
828	0.1525172965
829	0.1523045004
830	0.152030725
831	0.1513579427
832	0.1511937859
833	0.1508486817
834	0.1505368005
835	0.1501066981
836	0.1497454865
837	0.1494087167
838	0.1490965304
839	0.1486076191
840	0.1482766438
841	0.1479526653
842	0.1477267938
843	0.1474746513
844	0.1470424526
845	0.146561401
846	0.1463879502
847	0.1459135871
848	0.1457343694
849	0.1452025834
850	0.1450308344
851	0.144340769
852	0.1437245903
853	0.1433298964
854	0.1430273788
855	0.1426702597
856	0.142298178
857	0.1420327928
858	0.1416341926
859	0.1414847445
860	0.1413347672
861	0.1409498092
862	0.1406648834
863	0.1403773272
864	0.140049224
865	0.1396685532
866	0.1394046432
867	0.1391627474
868	0.1389828853
869	0.1385764649
870	0.1382491924
871	0.1379488421
872	0.1374067524
873	0.1371240177
874	0.1368649503
875	0.1367098794
876	0.1365407492
877	0.1362213663
878	0.1358499961
879	0.1355429482
880	0.1350905068
881	0.1346645905
882	0.1344659516
883	0.1341479163
884	0.1338551197
885	0.1334844523
886	0.1330086855
887	0.1326773038
888	0.1325637954
889	0.132358032
890	0.1322495763
891	0.1319445907
892	0.1318284323
893	0.1312428713
894	0.1310419525
895	0.1305221013
896	0.12996515
897	0.1298863107
898	0.1295391648
899	0.1292664054
900	0.1289108188
901	0.1283077591
902	0.1281125165
903	0.1275301455
904	0.127410527
905	0.127137066
906	0.126873417
907	0.1264280611
908	0.1260615449
909	0.1256550026
910	0.1253503216
911	0.1250248721
912	0.1244943051
913	0.1241447777
914	0.1237686007
915	0.123555355
916	0.1233504014
917	0.1232308613
918	0.1227297436
919	0.1223389472
920	0.1220622742
921	0.1215136519
922	0.1212893235
923	0.1209714577
924	0.1206684075
925	0.1202565158
926	0.1199483857
927	0.1196875603
928	0.1195695165
929	0.119294377
930	0.1190754653
931	0.1189886698
932	0.1186453804
933	0.1183018883
934	0.1180007698
935	0.1177893637
936	0.1173283135
937	0.1169232816
938	0.116580761
939	0.1162586621
940	0.1160853585
941	0.1158262584
942	0.1156732828
943	0.1153986074
944	0.1149322047
945	0.1146512658
946	0.1143682245
947	0.1139552898
948	0.1137905644
949	0.1134122115
950	0.1130567553
951	0.1126381183
952	0.1123359904
953	0.112014259
954	0.1118428858
955	0.1115429473
956	0.1113306283
957	0.1110267637
958	0.1107806408
959	0.1104535042
960	0.1102325791
961	0.1099141061
962	0.1097466179
963	0.1095247606
964	0.1093125967
965	0.1090377516
966	0.1086687621
967	0.108586573
968	0.1081699106
969	0.1079435661
970	0.1076979569
971	0.1075167797
972	0.1072867187
973	0.1070906584
974	0.1067155664
975	0.1063061278
976	0.1059395015
977	0.105724542
978	0.1053609818
979	0.1052105946
980	0.1049151339
981	0.1046293078
982	0.1043754548
983	0.1040057826
984	0.1037803539
985	0.1036144249
986	0.1032919101
987	0.1028638045
988	0.1025949639
989	0.1024362841
990	0.1021733714
991	0.1020476209
992	0.1016588764
993	0.1013685405
994	0.1011201323
995	0.1007435538
996	0.1005358382
997	0.1001341328
998	0.09994742197
999	0.09969692872
