iter	Passed	Remaining
479	1106	1198
480	1107	1195
481	1109	1191
482	1110	1188
483	1113	1186
484	1115	1185
485	1118	1182
486	1119	1179
487	1121	1176
488	1122	1172
489	1123	1169
490	1124	1166
491	1126	1162
492	1130	1162
493	1131	1159
494	1133	1156
495	1134	1153
496	1136	1149
497	1137	1146
498	1138	1143
499	1139	1139
500	1140	1136
501	1142	1133
502	1145	1131
503	1147	1129
504	1148	1125
505	1150	1123
506	1151	1119
507	1152	1116
508	1153	1113
509	1155	1109
510	1156	1106
511	1158	1103
512	1162	1103
513	1163	1100
514	1165	1098
515	1167	1094
516	1168	1091
517	1169	1088
518	1170	1084
519	1171	1081
520	1172	1078
521	1174	1075
522	1177	1074
523	1179	1071
524	1180	1067
525	1182	1065
526	1183	1062
527	1184	1059
528	1186	1055
529	1187	1052
530	1188	1049
531	1189	1046
532	1192	1044
533	1193	1041
534	1195	1038
535	1196	1035
536	1197	1032
537	1198	1029
538	1199	1026
539	1200	1023
540	1202	1019
541	1203	1016
542	1204	1013
543	1205	1010
544	1208	1009
545	1209	1006
546	1211	1003
547	1212	999
548	1213	996
549	1214	993
550	1215	990
551	1217	987
552	1218	984
553	1219	981
554	1220	978
555	1221	975
556	1224	973
557	1226	971
558	1227	968
559	1228	965
560	1230	962
561	1231	959
562	1232	956
563	1233	953
564	1235	950
565	1236	948
566	1237	945
567	1242	944
568	1244	942
569	1245	939
570	1246	936
571	1247	933
572	1249	930
573	1250	928
574	1252	925
575	1253	922
576	1256	921
577	1258	918
578	1259	916
579	1262	914
580	1264	912
581	1266	909
582	1267	906
583	1269	904
584	1274	904
585	1276	901
586	1278	899
587	1283	899
588	1284	896
589	1287	894
590	1292	894
591	1293	891
592	1297	890
593	1298	887
594	1299	884
595	1301	881
596	1306	882
597	1309	880
598	1311	877
599	1314	876
600	1315	873
601	1316	870
602	1321	869
603	1323	867
604	1325	865
605	1328	863
606	1329	861
607	1331	858
608	1335	857
609	1340	856
610	1341	854
611	1345	853
612	1347	850
613	1348	847
614	1353	847
615	1355	845
616	1357	842
617	1360	840
618	1361	838
619	1362	835
620	1364	832
621	1367	831
622	1368	828
623	1371	826
624	1372	823
625	1373	820
626	1375	818
627	1376	815
628	1377	812
629	1378	809
630	1380	807
631	1384	805
632	1385	803
633	1386	800
634	1387	797
635	1389	794
636	1390	792
637	1391	789
638	1392	786
639	1394	784
640	1395	781
641	1399	780
642	1400	777
643	1401	774
644	1402	772
645	1404	769
646	1405	766
647	1406	764
648	1407	761
649	1409	758
650	1410	756
651	1411	753
652	1415	752
653	1416	749
654	1418	746
655	1419	744
656	1420	741
657	1422	739
658	1423	736
659	1424	733
660	1425	731
661	1427	728
662	1430	726
663	1431	724
664	1433	721
665	1434	719
666	1435	716
667	1436	714
668	1437	711
669	1439	708
670	1440	706
671	1441	703
672	1442	701
673	1445	699
674	1446	696
675	1447	693
676	1448	691
677	1450	688
678	1451	686
679	1452	683
680	1454	681
681	1455	678
682	1456	676
683	1457	673
684	1461	671
685	1463	669
686	1465	667
687	1466	665
688	1467	662
689	1469	660
690	1471	657
691	1472	655
692	1473	652
693	1475	650
694	1477	648
695	1478	645
696	1480	643
697	1481	640
698	1482	638
699	1483	635
700	1485	633
701	1486	630
702	1487	628
703	1488	626
704	1490	623
705	1492	621
706	1493	619
707	1495	616
708	1496	614
709	1497	611
710	1499	609
711	1500	606
712	1501	604
713	1502	601
714	1503	599
715	1505	596
716	1506	594
717	1508	592
718	1509	590
719	1511	587
720	1512	585
721	1513	582
722	1514	580
723	1516	577
724	1517	575
725	1518	573
726	1520	570
727	1521	568
728	1522	566
729	1525	564
730	1527	561
731	1528	559
732	1529	557
733	1530	554
734	1532	552
735	1533	550
736	1534	547
737	1536	545
738	1537	543
739	1538	540
740	1540	538
741	1542	536
742	1543	533
743	1545	531
744	1546	529
745	1547	526
746	1548	524
747	1549	522
748	1550	519
749	1551	517
750	1553	514
751	1554	512
752	1557	510
753	1558	508
754	1560	506
755	1561	504
756	1563	501
757	1564	499
758	1565	497
759	1566	494
760	1568	492
761	1569	490
762	1572	488
763	1574	486
764	1576	484
765	1577	481
766	1578	479
767	1580	477
768	1581	475
769	1583	472
770	1584	470
771	1585	468
772	1590	467
773	1591	464
774	1592	462
775	1594	460
776	1595	457
777	1596	455
778	1597	453
779	1599	451
780	1600	448
781	1601	446
782	1604	444
783	1606	442
784	1607	440
785	1610	438
786	1612	436
787	1613	434
788	1614	431
789	1615	429
790	1617	427
791	1620	425
792	1622	423
793	1624	421
794	1626	419
795	1628	417
796	1629	415
797	1630	412
798	1632	410
799	1633	408
800	1637	406
801	1638	404
802	1641	402
803	1642	400
804	1644	398
805	1645	396
806	1646	393
807	1647	391
808	1649	389
809	1653	387
810	1655	385
811	1656	383
812	1658	381
813	1659	379
814	1661	377
815	1662	374
816	1663	372
817	1665	370
818	1668	368
819	1669	366
820	1671	364
821	1673	362
822	1674	360
823	1676	358
824	1677	355
825	1678	353
826	1682	351
827	1684	349
828	1687	348
829	1689	345
830	1690	343
831	1692	341
832	1693	339
833	1694	337
834	1699	335
835	1701	333
836	1703	331
837	1704	329
838	1706	327
839	1707	325
840	1708	322
841	1709	320
842	1710	318
843	1714	316
844	1716	314
845	1717	312
846	1719	310
847	1720	308
848	1721	306
849	1722	304
850	1724	301
851	1725	299
852	1727	297
853	1730	295
854	1732	293
855	1734	291
856	1736	289
857	1737	287
858	1738	285
859	1739	283
860	1740	281
861	1742	278
862	1745	277
863	1747	275
864	1748	272
865	1750	270
866	1751	268
867	1753	266
868	1754	264
869	1755	262
870	1756	260
871	1758	258
872	1760	256
873	1762	254
874	1764	252
875	1765	249
876	1767	247
877	1768	245
878	1769	243
879	1770	241
880	1772	239
881	1773	237
882	1776	235
883	1778	233
884	1780	231
885	1782	229
886	1783	227
887	1784	225
888	1786	223
889	1787	220
890	1788	218
891	1790	216
892	1795	215
893	1797	213
894	1798	211
895	1800	208
896	1802	206
897	1803	204
898	1804	202
899	1805	200
900	1809	198
901	1811	196
902	1812	194
903	1814	192
904	1815	190
905	1816	188
906	1817	186
907	1819	184
908	1820	182
909	1821	180
910	1825	178
911	1827	176
912	1828	174
913	1829	172
914	1831	170
915	1832	168
916	1833	165
917	1835	163
918	1836	161
919	1837	159
920	1841	157
921	1843	155
922	1844	153
923	1845	151
924	1846	149
925	1848	147
926	1849	145
927	1851	143
928	1852	141
929	1853	139
930	1857	137
931	1859	135
932	1860	133
933	1861	131
934	1863	129
935	1864	127
936	1865	125
937	1867	123
938	1868	121
939	1869	119
940	1873	117
941	1875	115
942	1876	113
943	1878	111
944	1879	109
945	1880	107
946	1882	105
947	1883	103
948	1884	101
949	1888	99
950	1889	97
951	1891	95
952	1892	93
953	1893	91
954	1894	89
955	1896	87
956	1897	85
957	1898	83
958	1899	81
959	1901	79
960	1921	77
961	1926	76
962	1929	74
963	1933	72
964	1937	70
965	1939	68
966	1942	66
967	1944	64
968	1946	62
969	1947	60
970	1949	58
971	1953	56
972	1955	54
973	1957	52
974	1958	50
975	1959	48
976	1960	46
977	1962	44
978	1963	42
979	1965	40
980	1969	38
981	1971	36
982	1972	34
983	1974	32
984	1975	30
985	1976	28
986	1977	26
987	1979	24
988	1980	22
989	1981	20
990	1984	18
991	1986	16
992	1988	14
993	1989	12
994	1990	10
995	1991	7
996	1993	5
997	1994	3
998	1995	1
999	1997	0
